,Interaction Type,x_vector,y_vector,z_vector,Molecule ID
204,donor,9,9,20,11
205,donor,12,12,25,11
206,acceptor,9,13,11,11
207,acceptor,7,7,20,11
208,acceptor,15,10,23,11
209,acceptor,19,15,27,11
210,aromatic,3,9,13,11
211,aromatic,4,8,16,11
212,aromatic,6,9,16,11
213,aromatic,8,11,15,11
214,aromatic,7,11,12,11
215,aromatic,4,11,11,11
216,aromatic,8,15,9,11
217,aromatic,6,15,7,11
218,aromatic,5,17,6,11
219,aromatic,5,20,7,11
220,aromatic,7,20,9,11
221,aromatic,8,18,11,11
222,aromatic,14,14,26,11
223,aromatic,14,17,27,11
224,aromatic,16,18,27,11
225,aromatic,18,17,28,11
226,aromatic,19,15,27,11
227,aromatic,17,13,27,11
228,basic,5,20,7,11
229,donor,6,20,12,12
230,donor,4,14,12,12
231,acceptor,7,24,16,12
232,acceptor,5,15,6,12
233,acceptor,4,14,12,12
234,aromatic,11,30,20,12
235,aromatic,8,26,17,12
236,aromatic,11,29,17,12
237,aromatic,9,28,21,12
238,aromatic,10,27,16,12
239,aromatic,8,26,20,12
240,halogen,12,32,22,12
241,basic,6,20,12,12
242,aliphatic_ring,7,24,16,12
243,aliphatic_ring,8,21,17,12
244,aliphatic_ring,8,19,14,12
245,aliphatic_ring,6,20,12,12
246,aliphatic_ring,6,22,11,12
247,aliphatic_ring,5,24,14,12
248,aliphatic_ring,7,18,10,12
249,aliphatic_ring,5,18,8,12
250,aliphatic_ring,5,15,6,12
251,aliphatic_ring,7,13,8,12
252,aliphatic_ring,7,15,11,12
253,donor,7,13,14,13
254,donor,6,22,10,13
255,acceptor,9,10,19,13
256,acceptor,4,14,12,13
257,acceptor,3,22,16,13
258,acceptor,10,7,26,13
259,aromatic,4,7,13,13
260,aromatic,5,6,15,13
261,aromatic,6,7,17,13
262,aromatic,7,9,17,13
263,aromatic,6,11,14,13
264,aromatic,5,10,13,13
265,aromatic,10,9,26,13
266,aromatic,11,11,28,13
267,aromatic,10,7,26,13
268,aromatic,11,10,31,13
269,aromatic,10,7,31,13
270,aromatic,9,7,29,13
271,basic,6,22,10,13
272,aliphatic_ring,5,20,11,13
273,aliphatic_ring,2,20,13,13
274,aliphatic_ring,3,22,16,13
275,aliphatic_ring,5,24,15,13
276,aliphatic_ring,7,24,13,13
277,aliphatic_ring,6,22,10,13
278,donor,4,23,12,14
279,donor,5,13,14,14
280,donor,8,9,16,14
281,donor,10,9,21,14
282,acceptor,4,23,12,14
283,acceptor,5,18,13,14
284,acceptor,5,13,14,14
285,acceptor,6,7,20,14
286,aromatic,5,20,11,14
287,aromatic,5,20,9,14
288,aromatic,5,17,7,14
289,aromatic,5,15,9,14
290,aromatic,5,16,12,14
291,aromatic,5,18,13,14
292,aromatic,10,8,23,14
293,aromatic,10,10,25,14
294,aromatic,10,10,28,14
295,aromatic,10,7,29,14
296,aromatic,10,6,27,14
297,aromatic,10,7,24,14
298,halogen,9,3,28,14
299,basic,4,23,12,14
300,basic,5,20,9,14
301,basic,5,13,14,14
302,donor,6,21,10,15
303,donor,10,7,21,15
304,donor,11,7,32,15
305,acceptor,6,10,10,15
306,acceptor,10,7,21,15
307,acceptor,11,6,32,15
308,aromatic,4,6,15,15
309,aromatic,5,7,17,15
310,aromatic,7,8,17,15
311,aromatic,7,10,14,15
312,aromatic,6,9,12,15
313,aromatic,4,7,12,15
314,aromatic,5,17,11,15
315,aromatic,7,18,13,15
316,aromatic,7,21,12,15
317,aromatic,6,21,10,15
318,aromatic,5,19,9,15
319,aromatic,10,7,23,15
320,aromatic,10,10,25,15
321,aromatic,10,10,27,15
322,aromatic,11,8,29,15
323,aromatic,10,6,28,15
324,aromatic,10,6,25,15
325,aromatic,11,4,30,15
326,aromatic,11,6,32,15
327,aromatic,11,7,32,15
328,basic,5,17,11,15
329,basic,10,7,21,15
330,donor,8,24,16,16
331,acceptor,6,17,10,16
332,acceptor,8,15,14,16
333,acceptor,13,30,16,16
334,acceptor,13,34,17,16
335,acceptor,14,31,19,16
336,aromatic,6,14,9,16
337,aromatic,5,14,6,16
338,aromatic,4,18,6,16
339,aromatic,5,19,9,16
340,aromatic,6,17,10,16
341,aromatic,7,17,13,16
342,aromatic,8,20,14,16
343,aromatic,7,22,12,16
344,aromatic,6,21,10,16
345,aromatic,13,30,16,16
346,aromatic,12,33,15,16
347,aromatic,13,34,17,16
348,aromatic,15,33,19,16
349,aromatic,14,31,19,16
350,basic,6,21,10,16
351,basic,8,24,16,16
352,aliphatic_ring,8,24,16,16
353,aliphatic_ring,6,24,18,16
354,aliphatic_ring,7,25,21,16
355,aliphatic_ring,9,27,20,16
356,aliphatic_ring,9,27,17,16
357,donor,8,10,19,17
358,donor,5,22,10,17
359,acceptor,7,10,10,17
360,acceptor,9,7,21,17
361,acceptor,14,12,30,17
362,acceptor,9,9,26,17
363,aromatic,7,9,17,17
364,aromatic,6,7,17,17
365,aromatic,4,7,15,17
366,aromatic,5,7,12,17
367,aromatic,6,9,12,17
368,aromatic,8,10,15,17
369,aromatic,5,18,11,17
370,aromatic,7,19,13,17
371,aromatic,7,22,13,17
372,aromatic,5,22,10,17
373,aromatic,5,19,10,17
374,basic,5,18,11,17
375,aliphatic_ring,11,9,24,17
376,aliphatic_ring,11,10,28,17
377,aliphatic_ring,13,11,28,17
378,aliphatic_ring,13,13,26,17
379,aliphatic_ring,13,10,23,17
380,aliphatic_ring,9,9,26,17
381,donor,6,20,7,18
382,donor,8,10,19,18
383,acceptor,6,15,10,18
384,acceptor,4,11,9,18
385,acceptor,4,7,19,18
386,acceptor,12,4,27,18
387,acceptor,13,4,25,18
388,aromatic,6,12,11,18
389,aromatic,5,9,15,18
390,aromatic,4,8,13,18
391,aromatic,4,8,10,18
392,aromatic,4,11,9,18
393,aromatic,6,12,14,18
394,aromatic,12,7,26,18
395,aromatic,12,4,27,18
396,aromatic,11,6,28,18
397,aromatic,13,6,24,18
398,aromatic,13,4,25,18
399,basic,6,20,7,18
400,aliphatic_ring,6,15,10,18
401,aliphatic_ring,6,17,12,18
402,aliphatic_ring,5,19,10,18
403,aliphatic_ring,6,20,7,18
404,aliphatic_ring,5,17,6,18
405,aliphatic_ring,7,15,7,18
406,donor,3,10,8,19
407,donor,4,16,10,19
408,donor,6,19,7,19
409,donor,2,19,14,19
410,acceptor,3,10,8,19
411,acceptor,8,14,8,19
412,acceptor,2,19,14,19
413,aromatic,6,11,12,19
414,aromatic,7,11,14,19
415,aromatic,7,9,15,19
416,aromatic,5,7,14,19
417,aromatic,4,7,12,19
418,aromatic,4,9,11,19
419,basic,6,19,7,19
420,aliphatic_ring,5,21,12,19
421,aliphatic_ring,6,25,15,19
422,aliphatic_ring,4,23,16,19
423,aliphatic_ring,4,21,14,19
